,Distance,Current
0,-1.177,3.0
1,-1.144,3.0
2,-1.114,3.7
3,-1.017,5.5
4,-0.958,6.4
5,-0.917,5.9
6,-0.828,6.9
7,-0.816,8.8
8,-0.767,9.2
9,-0.714,10.2
10,-0.703,10.2
11,-0.671,10.1
12,-0.588,11.8
13,-0.557,12.4
14,-0.521,12.6
15,-0.45,14.0
16,-0.454,15.5
17,-0.36,16.4
18,-0.268,17.4
19,-0.21,18.4
20,-0.179,18.4
21,-0.155,19.3
22,-0.089,21.6
23,-0.048,21.8
24,-0.037,23.2
25,-0.009,24.3
26,0.026,23.6
27,0.012,24.6
28,0.0,23.4
29,0.015,23.7
30,0.031,23.3
31,0.043,23.0
32,0.085,21.5
33,0.135,20.6
34,0.19,19.0
35,0.216,18.3
36,0.247,17.6
37,0.27,17.4
38,0.39,15.5
39,0.482,14.3
40,0.495,13.6
41,0.538,12.5
42,0.595,12.2
43,0.638,11.1
44,0.693,10.1
45,0.732,9.3
46,0.76,9.4
47,0.805,8.2
48,0.845,7.8
49,0.855,5.9
50,0.94,5.2
51,0.998,5.2
52,1.056,4.7
53,1.117,3.3
54,1.157,2.7
55,1.201,2.6
