,Distance,Current
0,-1.651,2.6
1,-1.615,2.7
2,-1.481,4.1
3,-1.469,3.4
4,-1.362,6.4
5,-1.227,7.0
6,-1.182,8.0
7,-1.073,8.7
8,-0.972,11.9
9,-0.791,13.7
10,-0.736,15.8
11,-0.581,18.3
12,-0.497,21.0
13,-0.312,21.2
14,-0.215,21.3
15,-0.096,23.8
16,-0.114,24.2
17,-0.01,24.1
18,0.046,24.6
19,0.006,24.2
20,0.027,25.0
21,0.13,23.2
22,0.143,22.6
23,0.241,21.4
24,0.376,21.3
25,0.524,20.3
26,0.59,18.7
27,0.749,15.5
28,0.844,13.8
29,1.0,11.7
30,1.122,9.3
31,1.233,7.2
32,1.269,6.9
33,1.372,6.4
34,1.535,3.4
35,1.574,2.9
36,1.62,3.3
37,1.728,1.9
