D10 reading 1 x axis,,,D10 reading 1 y axis,,,D10 reading 2 x axis,,,D10 reading 2 y axis,,,D10 reading 3 x axis,,,D10 reading 3 y axis,
TR,Current,,TR,Current,,TR,Current,,TR,Current,,TR,Current,,TR,Current
1.914,2.1,,2.266,3.1,,1.914,1.9,,2.358,2.9,,1.935,3.5,,2.31,3.1
1.833,5.8,,2.156,5.3,,1.83,5.2,,2.301,4.9,,1.822,3.5,,2.116,3.8
1.782,6.4,,2.001,6.0,,1.809,6.8,,2.195,6.8,,1.794,6.0,,1.996,5.0
1.754,8.6,,1.919,7.1,,1.726,7.6,,2.068,7.3,,1.756,7.8,,1.948,5.8
1.687,8.8,,1.903,10.0,,1.709,9.0,,2.004,10.0,,1.723,11.0,,1.884,9.8
1.672,11.3,,1.832,13.4,,1.694,11.6,,1.987,11.7,,1.684,14.6,,1.822,11.7
1.643,13.3,,1.785,14.2,,1.669,14.5,,1.93,16.7,,1.652,17.0,,1.809,15.0
1.631,15.1,,1.757,18.3,,1.647,17.1,,1.9,16.9,,1.636,17.0,,1.775,18.4
1.586,18.4,,1.704,20.5,,1.566,17.1,,1.822,19.9,,1.586,20.1,,1.743,18.5
1.539,20.4,,1.689,21.9,,1.548,22.7,,1.788,23.3,,1.539,22.1,,1.667,22.4
1.523,24.3,,1.618,23.6,,1.505,23.4,,1.775,25.4,,1.525,23.9,,1.61,23.6
1.458,24.9,,1.556,25.6,,1.462,25.9,,1.732,27.3,,1.485,27.1,,1.558,26.8
1.442,28.6,,1.536,27.1,,1.448,27.4,,1.691,29.1,,1.452,29.3,,1.541,27.3
1.378,32.1,,1.524,30.8,,1.36,29.7,,1.662,32.8,,1.394,29.3,,1.532,30.9
1.359,32.1,,1.501,33.7,,1.346,33.9,,1.605,34.1,,1.316,33.7,,1.495,33.5
1.303,36.3,,1.45,36.2,,1.308,35.4,,1.532,35.8,,1.304,36.0,,1.45,36.2
1.27,33.2,,1.415,33.2,,1.27,32.8,,1.466,33.2,,1.272,32.9,,1.415,33.2
1.231,30.8,,1.392,30.6,,1.231,31.0,,1.412,31.4,,1.228,30.4,,1.392,30.6
1.175,28.0,,1.355,27.6,,1.175,28.5,,1.394,28.4,,1.173,29.0,,1.355,27.6
1.13,25.1,,1.34,26.8,,1.13,25.5,,1.323,27.0,,1.132,26.5,,1.34,26.8
1.1,21.1,,1.265,24.1,,1.1,22.0,,1.269,25.1,,1.072,25.1,,1.265,24.1
1.07,23.6,,1.21,22.1,,1.07,23.2,,1.262,23.0,,1.051,22.9,,1.21,22.1
1.034,17.7,,1.171,19.8,,1.034,18.0,,1.234,19.4,,1.033,18.8,,1.171,19.8
0.985,15.1,,1.15,17.4,,0.985,16.3,,1.169,18.2,,0.989,17.1,,1.15,17.4
0.945,13.1,,1.107,15.0,,0.945,14.6,,1.139,16.0,,0.942,15.8,,1.107,15.0
0.917,9.2,,1.075,12.5,,0.917,10.0,,1.071,12.6,,0.915,11.0,,1.075,12.5
0.9,10.5,,1.002,9.6,,0.9,11.3,,1.052,10.0,,0.9,13.9,,1.002,9.6
0.865,7.7,,0.96,6.7,,0.865,8.2,,0.975,7.3,,0.863,8.7,,0.96,6.7
0.81,6.1,,0.915,5.2,,0.81,6.3,,0.888,6.2,,0.811,6.9,,0.915,5.2
0.764,4.4,,0.76,4.6,,0.764,4.5,,0.763,5.6,,0.763,3.5,,0.76,4.6
0.698,2.4,,0.612,3.5,,0.698,2.8,,0.694,2.5,,0.695,2.4,,0.612,3.5
