,Distance,Current
0,-1.7,2.657
1,-1.6,2.608
2,-1.5,2.847
3,-1.5,3.973
4,-1.3,5.828
5,-1.2,6.513
6,-1.2,7.737
7,-1.1,8.55
8,-1.0,12.05
9,-0.8,14.202
10,-0.7,16.512
11,-0.6,18.317
12,-0.5,20.254
13,-0.4,20.363
14,-0.2,21.535
15,-0.1,23.016
16,-0.1,24.08
17,-0.0,24.373
18,0.0,25.175
19,0.0,24.51
20,0.0,24.88
21,0.1,23.89
22,0.1,23.193
23,0.2,21.544
24,0.4,20.642
25,0.5,20.47
26,0.6,18.799
27,0.7,15.651
28,0.8,14.157
29,1.0,11.327
30,1.1,9.271
31,1.2,7.548
32,1.3,6.787
33,1.4,6.898
34,1.5,4.067
35,1.6,3.099
36,1.6,3.631
37,1.7,2.666
